source_inventory_id,redacted_source_path,programme,functional_area,sensitivity,duplicate_group_id,proposed_drive_folder,canonical_resource_type,target_canonical_asset_id,target_file_type,owner_role,website_section,consolidation_action,notes
SRC-000026,Journey - Boys - Paul/4. Compass Evening/Practical Set up - GPX Co-ordinates/orienteering_bearings_table_magnetic_sorted.xlsx,Boys,Compass Evening,internal-source,,08 Compass Evening,Compass Evening Pack,CAN-COMPASS-EVENING-PACK,Google Sheet,Logistics Lead,Events,review-for-canonical-resource,"Use source only through privacy-safe summary, template rebuild, or approved historical example."
SRC-000027,Journey - Boys - Paul/4. Compass Evening/Practical Set up - GPX Co-ordinates/The Journey 2026 - Sons & Dads.pdf,Boys,Compass Evening,internal-source,DUP-29CB485BE9,08 Compass Evening,Compass Evening Pack,CAN-COMPASS-EVENING-PACK,Google Doc or Markdown page,Logistics Lead,Events,deduplicate-into-canonical-or-historical-example,"Use source only through privacy-safe summary, template rebuild, or approved historical example."
SRC-000028,Journey - Boys - Paul/4. Compass Evening/The Compass Challenge_Message to Dads and Boys.docx,Boys,Compass Evening,internal-source,DUP-A0169D5BC6,08 Compass Evening,Compass Evening Pack,CAN-COMPASS-EVENING-PACK,Google Doc or Markdown page,Logistics Lead,Events,deduplicate-into-canonical-or-historical-example,"Use source only through privacy-safe summary, template rebuild, or approved historical example."
SRC-000029,Journey - Boys - Paul/4. Compass Evening/TJ26-1 Check List - Compass evening.xlsx,Boys,Compass Evening,internal-source,DUP-9665BAB107,08 Compass Evening,Compass Evening Pack,CAN-COMPASS-EVENING-PACK,Google Sheet,Logistics Lead,Events,deduplicate-into-canonical-or-historical-example,"Use source only through privacy-safe summary, template rebuild, or approved historical example."
SRC-000030,Journey - Boys - Paul/4. Compass Evening/TJ26-1 Compass Activity - Father and son questions.docx,Boys,Compass Evening,internal-source,DUP-31A003121C,08 Compass Evening,Compass Evening Pack,CAN-COMPASS-EVENING-PACK,Google Doc or Markdown page,Logistics Lead,Events,deduplicate-into-canonical-or-historical-example,"Use source only through privacy-safe summary, template rebuild, or approved historical example."
SRC-000031,REDACTED-SENSITIVE-SOURCE/SRC-000031.pptx,Boys,Compass Evening,restricted-source,DUP-4088B1EE99,08 Compass Evening,Compass Evening Pack,CAN-COMPASS-EVENING-PACK,Private review packet,Logistics Lead,Events,review-redact-and-rebuild-as-synthetic-template,"Use source only through privacy-safe summary, template rebuild, or approved historical example."
SRC-000032,REDACTED-SENSITIVE-SOURCE/SRC-000032.pdf,Boys,Rite of passage,restricted-source,DUP-A4623236E2,09 Rite of Passage,Rite Of Passage Pack,CAN-RITE-OF-PASSAGE-PACK,Private review packet,Camp Director,Events,review-redact-and-rebuild-as-synthetic-template,"Use source only through privacy-safe summary, template rebuild, or approved historical example."
SRC-000033,REDACTED-SENSITIVE-SOURCE/SRC-000033.pdf,Boys,Rite of passage,restricted-source,DUP-AD1C94F297,09 Rite of Passage,Rite Of Passage Pack,CAN-RITE-OF-PASSAGE-PACK,Private review packet,Camp Director,Events,review-redact-and-rebuild-as-synthetic-template,"Use source only through privacy-safe summary, template rebuild, or approved historical example."
SRC-000034,REDACTED-SENSITIVE-SOURCE/SRC-000034.pdf,Boys,Rite of passage,restricted-source,DUP-E5A9865F3E,09 Rite of Passage,Rite Of Passage Pack,CAN-RITE-OF-PASSAGE-PACK,Private review packet,Camp Director,Events,review-redact-and-rebuild-as-synthetic-template,"Use source only through privacy-safe summary, template rebuild, or approved historical example."
SRC-000035,Journey - Boys - Paul/6. Rite of Passage/Hide/ROP Camp Program - South - 2026.docx,Boys,Rite of passage,internal-source,DUP-A38D70D385,09 Rite of Passage,Rite Of Passage Pack,CAN-RITE-OF-PASSAGE-PACK,Google Doc or Markdown page,Camp Director,Events,deduplicate-into-canonical-or-historical-example,"Use source only through privacy-safe summary, template rebuild, or approved historical example."
SRC-000036,Journey - Boys - Paul/6. Rite of Passage/Hide/Template _ ROP (Weekend Program) _ 15 Dads.xlsx,Boys,Rite of passage,internal-source,,09 Rite of Passage,Rite Of Passage Pack,CAN-RITE-OF-PASSAGE-PACK,Google Sheet,Camp Director,Events,review-for-canonical-resource,"Use source only through privacy-safe summary, template rebuild, or approved historical example."
SRC-000037,Journey - Boys - Paul/6. Rite of Passage/Journey ROP Q&A Video.mp4,Boys,Rite of passage,internal-source,DUP-00ACD78972,09 Rite of Passage,Rite Of Passage Pack,CAN-RITE-OF-PASSAGE-PACK,Approved media reference,Camp Director,Events,deduplicate-into-canonical-or-historical-example,"Use source only through privacy-safe summary, template rebuild, or approved historical example."
SRC-000038,Journey - Boys - Paul/6. Rite of Passage/TJ26-1 Camping List - ROP.xlsx,Boys,Rite of passage,internal-source,DUP-663F609604,09 Rite of Passage,Rite Of Passage Pack,CAN-RITE-OF-PASSAGE-PACK,Google Sheet,Camp Director,Events,deduplicate-into-canonical-or-historical-example,"Use source only through privacy-safe summary, template rebuild, or approved historical example."
SRC-000039,Journey - Boys - Paul/6. Rite of Passage/TJ26-1 Celebration Program for Sunday.docx,Boys,Rite of passage,internal-source,DUP-CC595AC063,09 Rite of Passage,Rite Of Passage Pack,CAN-RITE-OF-PASSAGE-PACK,Google Doc or Markdown page,Camp Director,Events,deduplicate-into-canonical-or-historical-example,"Use source only through privacy-safe summary, template rebuild, or approved historical example."
SRC-000040,Journey - Boys - Paul/6. Rite of Passage/TJ26-1 ROP (Weekend Program) _ April 2026.xlsx,Boys,Rite of passage,internal-source,,09 Rite of Passage,Rite Of Passage Pack,CAN-RITE-OF-PASSAGE-PACK,Google Sheet,Camp Director,Events,review-for-canonical-resource,"Use source only through privacy-safe summary, template rebuild, or approved historical example."
SRC-000041,REDACTED-SENSITIVE-SOURCE/SRC-000041.xlsx,Boys,Rite of passage,restricted-source,DUP-4D41F26169,09 Rite of Passage,Rite Of Passage Pack,CAN-RITE-OF-PASSAGE-PACK,Google Sheet private template,Camp Director,Events,review-redact-and-rebuild-as-synthetic-template,"Use source only through privacy-safe summary, template rebuild, or approved historical example."
SRC-000042,Journey - Boys - Paul/6. Rite of Passage/TJ26-1 ROP Camp Q & A session.pptx,Boys,Rite of passage,internal-source,DUP-A2E1B8C278,09 Rite of Passage,Rite Of Passage Pack,CAN-RITE-OF-PASSAGE-PACK,Google Slides or training page,Camp Director,Events,deduplicate-into-canonical-or-historical-example,"Use source only through privacy-safe summary, template rebuild, or approved historical example."
SRC-000043,Journey - Boys - Paul/6. Rite of Passage/TJ26-1 ROP Facilitators Camp Prep Slides.pptx,Boys,Rite of passage,internal-source,DUP-800D60282D,09 Rite of Passage,Rite Of Passage Pack,CAN-RITE-OF-PASSAGE-PACK,Google Slides or training page,Camp Director,Events,deduplicate-into-canonical-or-historical-example,"Use source only through privacy-safe summary, template rebuild, or approved historical example."
SRC-000044,Journey - Boys - Paul/6. Rite of Passage/TJ26-1 ROP Prep - TO DO.xlsx,Boys,Rite of passage,internal-source,DUP-58CDB21CBA,09 Rite of Passage,Rite Of Passage Pack,CAN-RITE-OF-PASSAGE-PACK,Google Sheet,Camp Director,Events,deduplicate-into-canonical-or-historical-example,"Use source only through privacy-safe summary, template rebuild, or approved historical example."
SRC-000045,Journey - Boys - Paul/6. Rite of Passage/TJ26-1 Support Teams & Rotation Stations.pdf,Boys,Rite of passage,internal-source,DUP-A0B919B640,09 Rite of Passage,Rite Of Passage Pack,CAN-RITE-OF-PASSAGE-PACK,Google Doc or Markdown page,Camp Director,Events,deduplicate-into-canonical-or-historical-example,"Use source only through privacy-safe summary, template rebuild, or approved historical example."
SRC-000046,REDACTED-SENSITIVE-SOURCE/SRC-000046.pdf,Boys,Finance,restricted-source,DUP-C9AFD2246D,12 Finance,Finance Template Set,CAN-FINANCE-TEMPLATE-SET,Private review packet,Finance Lead,Operations,review-redact-and-rebuild-as-synthetic-template,"Use source only through privacy-safe summary, template rebuild, or approved historical example."
SRC-000047,REDACTED-SENSITIVE-SOURCE/SRC-000047.xlsx,Boys,Finance,restricted-source,,12 Finance,Finance Template Set,CAN-FINANCE-TEMPLATE-SET,Google Sheet private template,Finance Lead,Operations,review-redact-and-rebuild-as-synthetic-template,"Use source only through privacy-safe summary, template rebuild, or approved historical example."
SRC-000048,REDACTED-SENSITIVE-SOURCE/SRC-000048.jpeg,Boys,Finance,restricted-source,DUP-FFDCBC3657,12 Finance,Finance Template Set,CAN-FINANCE-TEMPLATE-SET,Private review packet,Finance Lead,Operations,review-redact-and-rebuild-as-synthetic-template,"Use source only through privacy-safe summary, template rebuild, or approved historical example."
SRC-000049,REDACTED-SENSITIVE-SOURCE/SRC-000049.jpeg,Boys,Kickoff camp,restricted-source,DUP-D3A8C8A869,07 Kickoff Camp,Kickoff Camp Pack,CAN-KICKOFF-CAMP-PACK,Private review packet,Camp Director,Events,review-redact-and-rebuild-as-synthetic-template,"Use source only through privacy-safe summary, template rebuild, or approved historical example."
SRC-000050,Journey - Paul/.DS_Store,Unknown,Other,internal-source,,17 Archive Register,Archive Reference Library,CAN-ARCHIVE-REFERENCE-LIBRARY,Drive file reference,Oversight Lead,Library,review-for-canonical-resource,"Use source only through privacy-safe summary, template rebuild, or approved historical example."
SRC-000051,Journey - Paul/2024/Copy of TWNAF _ JOURNEY GEAR.xlsx,Historical,Equipment,internal-source,,11 Logistics and Equipment,Equipment Template Set,CAN-EQUIPMENT-TEMPLATE-SET,Google Sheet,Logistics Lead,Operations,retain-as-labelled-historical-example,"Use source only through privacy-safe summary, template rebuild, or approved historical example."
SRC-000052,Journey - Paul/2024/Journey Daughters/TJ24 Program.xlsx,Historical,Other,internal-source,DUP-76E73A68F9,17 Archive Register,Archive Reference Library,CAN-ARCHIVE-REFERENCE-LIBRARY,Google Sheet,Oversight Lead,Library,deduplicate-into-canonical-or-historical-example,"Use source only through privacy-safe summary, template rebuild, or approved historical example."
SRC-000053,REDACTED-SENSITIVE-SOURCE/SRC-000053.xlsx,Historical,Rite of passage,restricted-source,DUP-AA9C3900C7,09 Rite of Passage,Rite Of Passage Pack,CAN-RITE-OF-PASSAGE-PACK,Google Sheet private template,Camp Director,Events,review-redact-and-rebuild-as-synthetic-template,"Use source only through privacy-safe summary, template rebuild, or approved historical example."
SRC-000054,Journey - Paul/2024/TJ24-2 Kick-off program.docx,Historical,Kickoff camp,internal-source,DUP-6A30E4F4CD,07 Kickoff Camp,Kickoff Camp Pack,CAN-KICKOFF-CAMP-PACK,Google Doc or Markdown page,Camp Director,Events,deduplicate-into-canonical-or-historical-example,"Use source only through privacy-safe summary, template rebuild, or approved historical example."
SRC-000055,Journey - Paul/2025/Check List - Compass evening.xlsx,Historical,Compass Evening,internal-source,DUP-1D8D47EE64,08 Compass Evening,Compass Evening Pack,CAN-COMPASS-EVENING-PACK,Google Sheet,Logistics Lead,Events,deduplicate-into-canonical-or-historical-example,"Use source only through privacy-safe summary, template rebuild, or approved historical example."
SRC-000056,REDACTED-SENSITIVE-SOURCE/SRC-000056.xlsx,Historical,Administration,restricted-source,DUP-9EFB3B7CC6,10 Administration,Administration Template Set,CAN-ADMINISTRATION-TEMPLATE-SET,Google Sheet private template,Administration Lead,Operations,review-redact-and-rebuild-as-synthetic-template,"Use source only through privacy-safe summary, template rebuild, or approved historical example."
SRC-000057,REDACTED-SENSITIVE-SOURCE/SRC-000057.xlsx,Historical,Other,restricted-source,DUP-5669962C72,17 Archive Register,Archive Reference Library,CAN-ARCHIVE-REFERENCE-LIBRARY,Google Sheet private template,Oversight Lead,Library,review-redact-and-rebuild-as-synthetic-template,"Use source only through privacy-safe summary, template rebuild, or approved historical example."
SRC-000058,Journey - Paul/2025/DTSS 25-2 Event Admin System.xlsx,Historical,Other,internal-source,DUP-C7DCA093CD,17 Archive Register,Archive Reference Library,CAN-ARCHIVE-REFERENCE-LIBRARY,Google Sheet,Oversight Lead,Library,deduplicate-into-canonical-or-historical-example,"Use source only through privacy-safe summary, template rebuild, or approved historical example."
SRC-000059,Journey - Paul/2025/JOURNEY T-SHIRT ART WORK.pdf,Historical,Other,internal-source,DUP-A198638A60,17 Archive Register,Archive Reference Library,CAN-ARCHIVE-REFERENCE-LIBRARY,Google Doc or Markdown page,Oversight Lead,Library,deduplicate-into-canonical-or-historical-example,"Use source only through privacy-safe summary, template rebuild, or approved historical example."
SRC-000060,REDACTED-SENSITIVE-SOURCE/SRC-000060.docx,Historical,Finance,restricted-source,DUP-2E97F338F4,12 Finance,Finance Template Set,CAN-FINANCE-TEMPLATE-SET,Private review packet,Finance Lead,Operations,review-redact-and-rebuild-as-synthetic-template,"Use source only through privacy-safe summary, template rebuild, or approved historical example."
SRC-000061,REDACTED-SENSITIVE-SOURCE/SRC-000061.docx,Historical,Finance,restricted-source,DUP-48BA398E87,12 Finance,Finance Template Set,CAN-FINANCE-TEMPLATE-SET,Private review packet,Finance Lead,Operations,review-redact-and-rebuild-as-synthetic-template,"Use source only through privacy-safe summary, template rebuild, or approved historical example."
SRC-000062,REDACTED-SENSITIVE-SOURCE/SRC-000062.docx,Historical,Finance,restricted-source,DUP-E87E85D58C,12 Finance,Finance Template Set,CAN-FINANCE-TEMPLATE-SET,Private review packet,Finance Lead,Operations,review-redact-and-rebuild-as-synthetic-template,"Use source only through privacy-safe summary, template rebuild, or approved historical example."
SRC-000063,REDACTED-SENSITIVE-SOURCE/SRC-000063.docx,Historical,Finance,restricted-source,DUP-93458948E6,12 Finance,Finance Template Set,CAN-FINANCE-TEMPLATE-SET,Private review packet,Finance Lead,Operations,review-redact-and-rebuild-as-synthetic-template,"Use source only through privacy-safe summary, template rebuild, or approved historical example."
SRC-000064,REDACTED-SENSITIVE-SOURCE/SRC-000064.docx,Historical,Finance,restricted-source,DUP-E4BC22F112,12 Finance,Finance Template Set,CAN-FINANCE-TEMPLATE-SET,Private review packet,Finance Lead,Operations,review-redact-and-rebuild-as-synthetic-template,"Use source only through privacy-safe summary, template rebuild, or approved historical example."
SRC-000065,REDACTED-SENSITIVE-SOURCE/SRC-000065.docx,Historical,Finance,restricted-source,DUP-4F279F1AAD,12 Finance,Finance Template Set,CAN-FINANCE-TEMPLATE-SET,Private review packet,Finance Lead,Operations,review-redact-and-rebuild-as-synthetic-template,"Use source only through privacy-safe summary, template rebuild, or approved historical example."
SRC-000066,REDACTED-SENSITIVE-SOURCE/SRC-000066.docx,Historical,Finance,restricted-source,DUP-CD2720860D,12 Finance,Finance Template Set,CAN-FINANCE-TEMPLATE-SET,Private review packet,Finance Lead,Operations,review-redact-and-rebuild-as-synthetic-template,"Use source only through privacy-safe summary, template rebuild, or approved historical example."
SRC-000067,REDACTED-SENSITIVE-SOURCE/SRC-000067.docx,Historical,Finance,restricted-source,DUP-B7BF46ADB1,12 Finance,Finance Template Set,CAN-FINANCE-TEMPLATE-SET,Private review packet,Finance Lead,Operations,review-redact-and-rebuild-as-synthetic-template,"Use source only through privacy-safe summary, template rebuild, or approved historical example."
SRC-000068,REDACTED-SENSITIVE-SOURCE/SRC-000068.docx,Historical,Finance,restricted-source,DUP-3E939E67CB,12 Finance,Finance Template Set,CAN-FINANCE-TEMPLATE-SET,Private review packet,Finance Lead,Operations,review-redact-and-rebuild-as-synthetic-template,"Use source only through privacy-safe summary, template rebuild, or approved historical example."
SRC-000069,REDACTED-SENSITIVE-SOURCE/SRC-000069.docx,Historical,Finance,restricted-source,DUP-A4B977F733,12 Finance,Finance Template Set,CAN-FINANCE-TEMPLATE-SET,Private review packet,Finance Lead,Operations,review-redact-and-rebuild-as-synthetic-template,"Use source only through privacy-safe summary, template rebuild, or approved historical example."
SRC-000070,Journey - Paul/2025/TJ25 Program.xlsx,Historical,Other,internal-source,DUP-E1323A7DE0,17 Archive Register,Archive Reference Library,CAN-ARCHIVE-REFERENCE-LIBRARY,Google Sheet,Oversight Lead,Library,deduplicate-into-canonical-or-historical-example,"Use source only through privacy-safe summary, template rebuild, or approved historical example."
SRC-000071,Journey - Paul/2025/TJ25-2 Camping List - Kick-off camp.xlsx,Historical,Kickoff camp,internal-source,DUP-4BD65FB8BC,07 Kickoff Camp,Kickoff Camp Pack,CAN-KICKOFF-CAMP-PACK,Google Sheet,Camp Director,Events,deduplicate-into-canonical-or-historical-example,"Use source only through privacy-safe summary, template rebuild, or approved historical example."
SRC-000072,Journey - Paul/2025/TJ25-2 Compass Challenge - Activity - Father and daughters questions.pdf,Historical,Compass Evening,internal-source,DUP-6D11A57CB6,08 Compass Evening,Compass Evening Pack,CAN-COMPASS-EVENING-PACK,Google Doc or Markdown page,Logistics Lead,Events,deduplicate-into-canonical-or-historical-example,"Use source only through privacy-safe summary, template rebuild, or approved historical example."
SRC-000073,REDACTED-SENSITIVE-SOURCE/SRC-000073.pdf,Historical,Compass Evening,restricted-source,DUP-34E8B19D2D,08 Compass Evening,Compass Evening Pack,CAN-COMPASS-EVENING-PACK,Private review packet,Logistics Lead,Events,review-redact-and-rebuild-as-synthetic-template,"Use source only through privacy-safe summary, template rebuild, or approved historical example."
SRC-000074,Journey - Paul/2025/TJ25-2 Daughter_s ROP Program.docx,Historical,Rite of passage,internal-source,DUP-5094141ED0,09 Rite of Passage,Rite Of Passage Pack,CAN-RITE-OF-PASSAGE-PACK,Google Doc or Markdown page,Camp Director,Events,deduplicate-into-canonical-or-historical-example,"Use source only through privacy-safe summary, template rebuild, or approved historical example."
SRC-000075,Journey - Paul/2025/TJ25-2 Kick-off Camp - Activity - Father and daughter questions.docx,Historical,Kickoff camp,internal-source,DUP-B6CBE5169D,07 Kickoff Camp,Kickoff Camp Pack,CAN-KICKOFF-CAMP-PACK,Google Doc or Markdown page,Camp Director,Events,deduplicate-into-canonical-or-historical-example,"Use source only through privacy-safe summary, template rebuild, or approved historical example."
SRC-000076,REDACTED-SENSITIVE-SOURCE/SRC-000076.xlsx,Historical,Administration,restricted-source,DUP-F0EFE668E7,10 Administration,Administration Template Set,CAN-ADMINISTRATION-TEMPLATE-SET,Google Sheet private template,Administration Lead,Operations,review-redact-and-rebuild-as-synthetic-template,"Use source only through privacy-safe summary, template rebuild, or approved historical example."
SRC-000077,REDACTED-SENSITIVE-SOURCE/SRC-000077.xlsx,Unknown,Rite of passage,restricted-source,DUP-88288CAEAA,09 Rite of Passage,Rite Of Passage Pack,CAN-RITE-OF-PASSAGE-PACK,Google Sheet private template,Camp Director,Events,review-redact-and-rebuild-as-synthetic-template,"Use source only through privacy-safe summary, template rebuild, or approved historical example."
