Build ID,Website layer,Prerequisite gate / decision,Build item,Source surface,Owner role,Required approval before start,Build status,Approved scope / decision ref,Target environment / URL,Evidence / artifact link,Validation required,Update target after accepted,Non-publication boundary
BLD-011,Review packet access,GATE-002,Route qualified reviewers to packet links and decision templates using approved access controls.,Human Review Routing; Human Review Sign-off Templates,Oversight Lead,Programme governance authority,Needs reviewer decision,,,,"Reviewer routing respects qualifications, privacy and evidence-link rules.",Human Review Routing; Human Review; GATE-002,Does not assign reviewers or approve HR rows.
BLD-012,Pilot evidence summary,GATE-003,Create non-sensitive pilot summary area after debrief evidence and accepted changes exist.,Pilot Cycle Plan; Pilot Evidence Capture Templates; Leadership Review Outputs,Journey Lead,Journey leadership team,Needs pilot run,,,,"Pilot outcome summary contains no private participant, medical or financial data.",Pilot Log; Leadership Review Outputs; GATE-003,Does not claim pilot completion without real debrief evidence.
BLD-013,Restricted data segregation,GATE-004; DEC-005,Confirm no restricted data is stored in public/prototype files and design least-privilege links only.,Restricted Data Placement Approval Templates; Data Replacement and Access Cleanup folder,Administration Lead,Accountable data owner,Needs data owner approval,,,,Restricted data remains in least-privilege Drive or Sheets locations only.,DEC-005; TASK-014; GATE-004,"Does not migrate or expose personal, medical, financial or private data."
BLD-014,Authentication and access controls,GATE-005; DEC-004,"Implement authentication, role groups and protected areas only after access model approval.",Website Access Review; Website Access Model Decision Templates,Knowledge Management Lead,Website approving authority,Needs access approval,,,,Role groups match approved access model and are tested before publication review.,Website Access Review; DEC-004; GATE-005,Does not activate authenticated tools before access approval.
BLD-015,Forms and intake boundaries,GATE-004; GATE-005,"Define what forms are allowed, where submissions go and which fields are prohibited from public surfaces.",Restricted Data Replacement Checklist; Website Access Review,Administration Lead,Accountable data owner,Needs data owner approval,,,,"Allowed fields, storage location, retention and access group are approved.",DEC-005; Website Access Review; TASK-016,Does not collect restricted data through public forms.
BLD-016,Quality and validation,GATE-006; TASK-016,"Define build checks for links, mobile layout, accessibility, privacy copy, source links and external dependencies.",site prototype tests; Publication Gate Checklist,Knowledge Management Lead,Production publishing authority,Blocked until prerequisites accepted,,,,Automated and manual QA checklist is complete before publication review.,tests; Publication Gate Checklist; TASK-016,Does not certify production readiness until approved scope is implemented and tested.
BLD-017,Rollback and operations,GATE-006; DEC-006,"Set rollback owner, backups, version evidence, content owner and support path before launch.",Production Website Publication Approval Templates; Leadership Decision Capture LDC-017,Oversight Lead,Production publishing authority,Needs publication approval,,,,"Rollback owner, backup artifact and support route are recorded.",DEC-006; TASK-016; Event Readiness,Does not publish without rollback and operating owner evidence.
BLD-018,Deployment preparation,GATE-006; TASK-016,Prepare deployment checklist and environment variables after approved content and access scope exists.,Publication Gate Checklist; operating hub prototype,Knowledge Management Lead,Production publishing authority,Blocked until prerequisites accepted,,,,"Environment, deployment steps and approval evidence are documented.",site build backlog; TASK-016; GATE-006,"Does not deploy, publish or broaden sharing from backlog preparation alone."
BLD-019,Publication package,GATE-006; DEC-006,"Assemble approved version, production URL, validation evidence, rollback plan and go/no-go record.",Production Website Publication Approval Templates; Leadership Decision Capture LDC-017,Oversight Lead,Production publishing authority,Needs publication approval,,,,"Publication package includes signed decision, approved scope and validation evidence.",DEC-006; TASK-016; GATE-006,Does not treat assembled evidence as final approval.
BLD-020,Post-launch management,GATE-006; TASK-016,"Create change log, maintenance cadence, owner review and content update pathway after publication approval.",START HERE; Resource Library Index; Leadership Review Outputs,Knowledge Management Lead,Production publishing authority,Blocked until prerequisites accepted,,,,"Post-launch owner, review cadence and change log are approved.",PROJECT-HANDOFF; RUN_LOG; TASK-016,Does not begin public operations before publication authority approves launch.
